GI,GenBank Accession,UniProt Accession,UniProt Entry ID
,ABJ53695.1,A0A0H2ZL64,PULA_STRP2
,ABJ53954.1,A0A0H2ZLQ1,MLTG_STRP2
,ABJ54295.1,A0A0H2ZMF9,PBP2A_STRP2
,ABJ54218.1,A0A0H2ZNH9,WALK_STRP2
,ABJ54886.1,A0A0H2ZQ76,PCSB_STRP2
,ABJ54967.1,A0A0H2ZQB9,EGTUB_STRP2
,ABJ55230.1,A0A0H2ZQL5,CCRZ_STRP2
,CAA36714.1,Q04IN8,TACY_STRP2
,ABJ55478.1,Q04J43,STKP_STRP2
,ABJ54921.1,Q04LE4,FTSX_STRP2
,ABJ53627.1,A0A0H2ZKY7,ROCS_STRP2
,ABJ53670.1,A0A0H2ZLH6,A0A0H2ZLH6_STRP2
,ABJ53896.1,A0A0H2ZLK9,A0A0H2ZLK9_STRP2
,ABJ53722.1,A0A0H2ZLL3,EGTUA_STRP2
,ABJ54182.1,A0A0H2ZM56,ADHE_STRP2
,ABJ54050.1,A0A0H2ZM82,FTSE_STRP2
,ABJ53877.1,A0A0H2ZM98,A0A0H2ZM98_STRP2
,ABJ53883.1,A0A0H2ZMA2,A0A0H2ZMA2_STRP2
,ABJ53899.1,A0A0H2ZMB4,KHPA_STRP2
,ABJ54400.1,A0A0H2ZMP2,A0A0H2ZMP2_STRP2
,ABJ53792.1,A0A0H2ZMR5,A0A0H2ZMR5_STRP2
,ABJ54114.1,A0A0H2ZMS3,A0A0H2ZMS3_STRP2
,ABJ54579.1,A0A0H2ZNE0,FTSZ_STRP2
,ABJ54734.1,A0A0H2ZNG3,MACP_STRP2
,ABJ54180.1,A0A0H2ZNL3,MURA1_STRP2
,ABJ54733.1,A0A0H2ZNR4,A0A0H2ZNR4_STRP2
,ABJ54659.1,A0A0H2ZP44,A0A0H2ZP44_STRP2
,ABJ54905.1,A0A0H2ZP84,A0A0H2ZP84_STRP2
,ABJ54581.1,A0A0H2ZPC8,RQCH_STRP2
,ABJ55280.1,A0A0H2ZPS7,KHPB_STRP2
,ABJ55331.1,A0A0H2ZRD4,A0A0H2ZRD4_STRP2
,ABJ54931.1,Q04I02,ADCR_STRP2
,ABJ54228.1,Q04J42,PHPP_STRP2
,ABJ54045.1,Q04JG7,CODY_STRP2
